PPT CODE,WEBSTAURANT CODE,WEBSTAURANT DESCRIPTION,COUNT,URL
RE0006BL,346206BK,,180,
RE0007WH,346207WH,,180,
RE0008CL,346208CL,,288,
RE0008WH,346208WH,,288,
RE0009,346209WH,,180,
RE0009B,346209BK,,180,
RE0010,346210WH,,144,
RE0010B,346210BK,,252,
RE0012,346212WH,,180,
REFC5,347FC2P5,,120,
REP10-BN,346210BN,,144,
REP10-CL,346210CL,,144,
REP12-BN,346212BN,,180,
REP7-BN,346207BN,,180,
REP7-CL,346207CL,,180,
REP9-CL,346209CL,,180,
RO-16,129MCR16B,,150,
RO-24,129MCR24B,,150,
RO-37,129MCR32B,,150,
RU2008,fg637400bla,,1,
S-316,760TLP316,,1000,
S-3161,760CL316,,1000,
S-B316,760TLB316,,1000,
S-SPOON,30WSSPOON,,1000,
S6BW,301S6BW,,1000,
SANDWICH,760695031741150221,,2000,
SFP,6127700,,50,
SHP,612601240,,100,
SIP-7,485CS8RD,,5000,
SIPS,4855010,,10000,
SIPS-BLK,485SIP5BK,,10000,
SOS,433B1200130,,250,
SOSJ,433B1200180,,200,
SOSJW,433W18719,,200,
SOSW,433W13717,,250,
SPARKLE,147PANPROI1G,,4,
SPARKLE5,147PANPROI5G,,1,
SPLASH,146POTPAN,,4,
SPRAYERS,27416KIT,,3,
SSC,148EXCEL,,12,
SU6BW,301SU6BW,,1000,
SWELLAERO,999KLEERVIEW,,1,
T-SPOON,130WSPOON,,1000,
T45,501231746XH,,100,
T7T,347TCL7,,500,
TC30,5013339,,100,
TD24,760TD24,,600,
TEALIGHT,5365HRTL,,500,
THERMAL3,105RR13040,,50,
TIES,162TIE4PAGR,,2000,
TOWEL,5002HR30,,30,
TP10D,Tp10d 1000,,1000,
TP12,760TP12,,1000,
TP16D,760TP16D,,1000,
TP20,760TP20,,600,
TP9R,760TP9R,,1000,
TRIMKR,433B1200050,,250,
TRIMW,433W10513,,250,
UBLOCK,3671657 cherry,,12,
US,3671647 CHERRY,,12,
V12C,128HD12COMBO,,240,
V16C,128HD16COMBO,,240,
V32C,128HD32COMBO,,240,
V8NC,128HD8COMBO,,240,
WETNAP,433WETEC,,1000,
WETNAPXL,433WETXL,,500,
WST,485R810,,10000,
Y10,301Y10,,2500,
Y12S,301Y12S,,1000,
Y14,301Y14,,1000,
Y5,301Y5,,2500,
Y7,301Y7,,2500,
Y9,301Y9,,2500,
ZIPLOCK,130F21012G 250,,250,
